employee_id,first_name,last_name,department,salary,hire_date,email
201,JOHN,SMITH,SALES,65000.0,2024-12-08,JOHN.SMITH@COMPANY
202,EMILY,,MARKETING,72500.5,2019-06-22,EMILY.JOHNSON@COMPANY.COM
203,MICHAEL,WILLIAMS,UNKNOWN,85000.75,2024-12-08,MICHAEL.WILLIAMS@COMPANY.COM
204,SARAH,BROWN,HUMAN RESOURCES,,2021-01-05,SARAH.BROWN@COMPANY.COM
205,DAVID,MILLER,FINANCE,,2017-09-18,DAVID.MILLER@COMPANY.COM
206,,GARCIA,IT,82500.5,2020-07-30,ROBERT.GARCIA@COMPANY.COM
207,ROBERT,,OPERATIONS,69500.75,2019-04-12,@COMPANY.COM
208,LISA,MARTINEZ,CUSTOMER SUPPORT,61000.0,2021-05-20,LISA.MARTINEZ@INVALID
209,WILLIAM,ANDERSON,,87000.25,2018-02-28,WILLIAM.ANDERSON@COMPANY.COM
210,JESSICA,TAYLOR,PRODUCT MANAGEMENT,75500.5,2024-12-08,JESSICA.TAYLOR@COMPANY.COM
